# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	8116
#@/user_id	0852eae9-5c80-4408-af08-89a82269f461
a 	啊	c=2 d=1.98511 t=8116
bu fen 	部分	c=4 d=2.00381 t=8116
bu fu he 	不符合	c=2 d=0.813233 t=8116
bu gai bian 	不改变	c=2 d=0.960789 t=8116
bu gan 	不敢	c=1 d=0.810584 t=8116
bu gei 	不给	c=0 d=0.0900325 t=8116
bu gei zhi 	不给值	c=1 d=0.904837 t=8116
bu guan 	不管	c=1 d=0.927743 t=8116
bu guo 	不过	c=1 d=0.865022 t=8116
bu hao 	不好	c=1 d=0.891366 t=8116
bu hui 	不会	c=8 d=3.00582 t=8116
bu huo 	捕获	c=3 d=1.89814 t=8116
bu jiu shi 	不就是	c=2 d=1.67063 t=8116
bu ju 	布局	c=35 d=8.9877 t=8116
bu ke 	不可	c=3 d=1.93431 t=8116
bu ke bian 	不可变	c=3 d=2.55847 t=8116
bu neng 	不能	c=19 d=7.92861 t=8116
bu rao 	不饶	c=1 d=0.923116 t=8116
bu sheng 	不生	c=1 d=0.677057 t=8116
bu sheng xiao 	不生效	c=2 d=1.54501 t=8116
bu shi 	不是	c=19 d=5.50157 t=8116
bu shi ma 	不是吗	c=1 d=0.99005 t=8116
bu shi yong 	不使用	c=4 d=2.32052 t=8116
bu shu 	部署	c=1 d=0.946485 t=8116
bu tong 	不同	c=6 d=4.22612 t=8116
bu tong yu 	不同于	c=1 d=0.970446 t=8116
bu xi qi 	不稀奇	c=1 d=1 t=8116
bu xing 	不行	c=2 d=1.77543 t=8116
bu xu yao 	不需要	c=10 d=5.08664 t=8116
bu yan zhong 	不严重	c=1 d=0.66365 t=8116
bu yao 	不要	c=9 d=4.04191 t=8116
bu yi yang 	不一样	c=3 d=2.72844 t=8116
bu ying gai 	不应该	c=1 d=0.946485 t=8116
bu yong 	不用	c=7 d=2.23964 t=8116
bu yun xu 	不允许	c=2 d=1.9458 t=8116
bu zheng chang 	不正常	c=1 d=0.831104 t=8116
bu zhi dao 	不知道	c=7 d=2.91277 t=8116
bu zhi jie 	不直接	c=1 d=0.932394 t=8116
bu zhun que 	不准确	c=1 d=0.913931 t=8116
ca 	擦	c=0 d=0.0878095 t=8116
ca ren gou 	擦认购	c=1 d=0.882497 t=8116
cai 	才	c=5 d=2.54152 t=8116
cai ce 	猜测	c=3 d=2.00612 t=8116
cai dui 	才对	c=5 d=2.54896 t=8116
cai hui 	才会	c=1 d=0.951229 t=8116
cai neng 	才能	c=7 d=3.05937 t=8116
cai shi 	才是	c=1 d=0.970446 t=8116
cai xing 	才行	c=1 d=0.970446 t=8116
can kao 	参考	c=6 d=3.84314 t=8116
can shu 	参数	c=15 d=7.86846 t=8116
cang 	仓	c=2 d=1.70469 t=8116
cang ku 	仓库	c=10 d=7.19154 t=8116
cang wei 	仓位	c=8 d=5.82605 t=8116
cao zuo 	操作	c=7 d=4.06176 t=8116
ce 	测	c=1 d=0.980199 t=8116
ce lve 	策略	c=8 d=5.71005 t=8116
ce shi 	测试	c=22 d=9.40096 t=8116
cha 	差	c=1 d=0.995012 t=8116
cha kan 	查看	c=26 d=10.7581 t=8116
cha ru 	插入	c=2 d=1.55296 t=8116
cha xun 	查询	c=9 d=4.68044 t=8116
chai cheng 	拆成	c=1 d=0.970446 t=8116
chai jie 	拆解	c=2 d=1.69273 t=8116
chan sheng 	产生	c=1 d=0.856415 t=8116
chang 	长	c=1 d=0.900325 t=8116
chang du 	长度	c=1 d=1 t=8116
chang jing 	场景	c=3 d=1.61273 t=8116
chang liang 	常量	c=1 d=0.970446 t=8116
chang shi 	尝试	c=1 d=0.66034 t=8116
chang yong 	常用	c=1 d=0.970446 t=8116
chao 	抄	c=1 d=0.970446 t=8116
chao 	超	c=9 d=6.80076 t=8116
che dan 	撤单	c=1 d=0.904837 t=8116
che hui 	撤回	c=1 d=0.955997 t=8116
che xiao 	撤销	c=1 d=0.932394 t=8116
chen jin shi 	沉浸式	c=1 d=0.995012 t=8116
cheng 	成	c=1 d=0.909373 t=8116
cheng 	程	c=2 d=1.74648 t=8116
cheng gong 	成功	c=1 d=0.985112 t=8116
cheng jiao 	成交	c=8 d=4.76474 t=8116
cheng jiao e 	成交额	c=1 d=0.918512 t=8116
cheng wei 	成为	c=1 d=0.941765 t=8116
cheng xu 	程序	c=13 d=6.69735 t=8116
chi cang 	持仓	c=5 d=3.84354 t=8116
chong fu 	重复	c=6 d=4.33368 t=8116
chong tu 	冲突	c=2 d=1.62194 t=8116
chong xin 	重新	c=19 d=7.02504 t=8116
chu 	出	c=6 d=4.05457 t=8116
chu fa 	触发	c=13 d=5.54466 t=8116
chu lai 	出来	c=4 d=2.56543 t=8116
chu le 	除了	c=3 d=1.71048 t=8116
chu li 	处理	c=6 d=3.30027 t=8116
chu mo 	触摸	c=1 d=0.774916 t=8116
chu mo ban 	触摸板	c=2 d=1.50783 t=8116
chu qu 	出去	c=2 d=1.57711 t=8116
chu shi 	初始	c=1 d=0.937067 t=8116
chu shi hua 	初始化	c=2 d=1.5882 t=8116
chu xian 	出现	c=19 d=7.10735 t=8116
chuan 	传	c=1 d=0.995012 t=8116
chuan di 	传递	c=5 d=3.30664 t=8116
chuan ru 	传入	c=3 d=2.06295 t=8116
chuang jian 	创建	c=5 d=3.98642 t=8116
chuang kou 	窗口	c=7 d=5.12136 t=8116
ci pan 	磁盘	c=3 d=2.51531 t=8116
ci shu 	次数	c=1 d=1 t=8116
ci yao 	次要	c=1 d=0.810584 t=8116
cong 	从	c=13 d=4.73681 t=8116
cong ding xiang 	从定向	c=1 d=0.995012 t=8116
cong er 	从而	c=1 d=0.444858 t=8116
cong na li 	从哪里	c=1 d=0.970446 t=8116
cun 	存	c=2 d=1 t=8116
cun chu 	存储	c=6 d=4.03401 t=8116
cun fang 	存放	c=1 d=0.367879 t=8116
cun zai 	存在	c=5 d=2.08714 t=8116
cuo wu 	错误	c=31 d=11.6798 t=8116
da 	大	c=4 d=3.0041 t=8116
da an 	答案	c=2 d=1.84902 t=8116
da bao 	打包	c=4 d=2.8885 t=8116
da fu du 	大幅度	c=1 d=0.786628 t=8116
da kai 	打开	c=5 d=3.39907 t=8116
da xiao 	大小	c=5 d=3.52154 t=8116
da yin 	打印	c=20 d=8.11853 t=8116
dai 	带	c=1 d=0.985112 t=8116
dai biao 	代表	c=5 d=4.34431 t=8116
dai li 	代理	c=9 d=6.84293 t=8116
dai ma 	代码	c=55 d=13.0008 t=8116
dai you 	带有	c=1 d=0.965605 t=8116
dan 	但	c=4 d=2.17411 t=8116
dan 	单	c=2 d=1.45295 t=8116
dan chu 	弹出	c=1 d=0.965605 t=8116
dan chu kuang 	弹出框	c=0 d=0.0913931 t=8116
dan chu kuang o 	弹出框哦	c=1 d=0.918512 t=8116
dan chun 	单纯	c=1 d=0.491644 t=8116
dan ci 	单词	c=1 d=1 t=8116
dan du 	单独	c=3 d=2.24139 t=8116
dan shi 	但是	c=44 d=8.17333 t=8116
dan shu 	单数	c=1 d=0.891366 t=8116
dan yi 	单一	c=1 d=0.970446 t=8116
dang 	当	c=14 d=4.91374 t=8116
dang 	档	c=2 d=1.91238 t=8116
dang qian 	当前	c=10 d=3.55856 t=8116
dang wo 	当我	c=1 d=0.856415 t=8116
dao 	到	c=56 d=13.2233 t=8116
dao 	导	c=1 d=0.995012 t=8116
dao 	道	c=1 d=0.865022 t=8116
dao chu 	导出	c=1 d=0.995012 t=8116
dao di 	到底	c=1 d=0.891366 t=8116
dao mo xing 	到模型	c=1 d=0.995012 t=8116
dao na li 	到那里	c=1 d=0.99005 t=8116
dao ru 	导入	c=2 d=1.78996 t=8116
dao ru dao 	导入到	c=1 d=0.918512 t=8116
dao zhi 	导致	c=16 d=5.61356 t=8116
de 	得	c=1 d=0.965605 t=8116
de 	的	c=572 d=33.4249 t=8116
de deng dai 	得等待	c=1 d=0.960789 t=8116
de shu ju 	的数据	c=1 d=0.985112 t=8116
de yu 	德语	c=1 d=0.985112 t=8116
deng 	等	c=9 d=5.16972 t=8116
deng bi 	等比	c=7 d=6.00628 t=8116
deng dai 	等待	c=2 d=1.92168 t=8116
deng ji 	等级	c=1 d=0.985112 t=8116
deng lu 	登录	c=1 d=0.67032 t=8116
deng tong 	等同	c=2 d=1.84644 t=8116
deng xiao ping 	邓小平	c=1 d=0.786628 t=8116
deng yu 	等于	c=2 d=1.93654 t=8116
di 	第	c=1 d=0.810584 t=8116
di ceng 	底层	c=1 d=0.839457 t=8116
di er 	第二	c=1 d=1 t=8116
di er ge 	第二个	c=2 d=1.57744 t=8116
di fang 	地方	c=3 d=2.11915 t=8116
di gong hao 	低功耗	c=1 d=0.790571 t=8116
di san 	第三	c=1 d=0.847894 t=8116
di yi 	第一	c=0 d=0.0798516 t=8116
di yi ge 	第一个	c=1 d=0.810584 t=8116
di yi hang 	第一行	c=1 d=0.802519 t=8116
di zhi 	地址	c=14 d=7.52975 t=8116
dian 	点	c=3 d=2.20972 t=8116
dian ji 	点击	c=3 d=1.34117 t=8116
diao 	掉	c=8 d=4.30411 t=8116
diao 	调	c=1 d=0.965605 t=8116
diao du 	调度	c=1 d=0.955997 t=8116
diao yong 	调用	c=2 d=1.19035 t=8116
die 	跌	c=1 d=0.965605 t=8116
ding 	定	c=1 d=0.826959 t=8116
ding ceng 	顶层	c=1 d=0.869358 t=8116
ding dan 	订单	c=9 d=5.81571 t=8116
ding gou 	订购	c=1 d=0.995012 t=8116
ding ji 	顶级	c=1 d=0.99005 t=8116
ding wei 	定位	c=1 d=0.970446 t=8116
ding xiang 	定向	c=0 d=0.099005 t=8116
ding yi 	定义	c=4 d=2.35267 t=8116
ding yue 	订阅	c=12 d=8.61597 t=8116
dong tai 	动态	c=2 d=0.976693 t=8116
dong xi 	东西	c=4 d=2.55363 t=8116
dou 	抖	c=2 d=1.30402 t=8116
dou 	都	c=11 d=5.30297 t=8116
dou bu xing 	都不行	c=1 d=0.733447 t=8116
dou hui 	都会	c=2 d=1.43615 t=8116
dou shi 	都是	c=4 d=2.01629 t=8116
dou shuo 	都说	c=1 d=0.802519 t=8116
dou yao 	都要	c=2 d=1.7744 t=8116
dou yong 	都用	c=1 d=0.985112 t=8116
dou zai 	都在	c=1 d=0.960789 t=8116
du 	读	c=10 d=6.2215 t=8116
du qu 	读取	c=11 d=4.37534 t=8116
du se 	堵塞	c=3 d=2.07871 t=8116
du zhan 	独占	c=4 d=3.02685 t=8116
duan 	断	c=1 d=0.965605 t=8116
duan dian 	断电	c=2 d=1.43813 t=8116
duan xian 	断线	c=2 d=1.63665 t=8116
dui 	对	c=13 d=4.38192 t=8116
dui ba 	对吧	c=1 d=1 t=8116
dui bi 	对比	c=1 d=0.937067 t=8116
dui chen 	对称	c=1 d=0.941765 t=8116
dui hua 	对话	c=2 d=1.47578 t=8116
dui qi 	对齐	c=13 d=4.86438 t=8116
dui xiang 	对象	c=1 d=0.895834 t=8116
dui ying 	对应	c=6 d=3.38508 t=8116
dui yu 	对于	c=4 d=1.64829 t=8116
duo 	多	c=15 d=5.13553 t=8116
duo ci 	多次	c=1 d=0.918512 t=8116
duo ge 	多个	c=16 d=5.02685 t=8116
duo jiu 	多久	c=1 d=0.895834 t=8116
duo shao 	多少	c=9 d=6.47912 t=8116
duo yu 	多余	c=1 d=0.852144 t=8116
er 	而	c=2 d=1.46974 t=8116
er bu shi 	而不是	c=3 d=2.33795 t=8116
er jin zhi 	二进制	c=1 d=0.965605 t=8116
er qie 	而且	c=6 d=2.38737 t=8116
er shi 	而是	c=2 d=1.39102 t=8116
er wai 	而外	c=3 d=2.67902 t=8116
fa 	发	c=1 d=0.93458 t=8116
fa chu 	发出	c=1 d=0.826959 t=8116
fa chu xian 	发出现	c=1 d=0.955997 t=8116
fa qi 	发起	c=1 d=0.822835 t=8116
fa sheng 	发生	c=1 d=0.794534 t=8116
fa song 	发送	c=5 d=2.76478 t=8116
fan 	反	c=2 d=1.3833 t=8116
fan bei 	翻倍	c=1 d=0.985112 t=8116
fan hui zhi 	返回值	c=1 d=0.744532 t=8116
fan shi 	凡是	c=1 d=0.715338 t=8116
fan shou 	反手	c=5 d=3.65177 t=8116
fan wei 	范围	c=1 d=0.88692 t=8116
fan xiang 	反向	c=1 d=0.995012 t=8116
fan xing 	泛型	c=7 d=4.42565 t=8116
fan xu lie 	反序列	c=3 d=2.42135 t=8116
fan xu lie hua 	反序列化	c=8 d=3.97523 t=8116
fan yi 	翻译	c=19 d=12.3557 t=8116
fan zhuan 	反转	c=2 d=1.76403 t=8116
fang 	放	c=2 d=0.946485 t=8116
fang an 	方案	c=9 d=4.25236 t=8116
fang bian 	方便	c=2 d=1.77772 t=8116
fang da 	放大	c=1 d=0.923116 t=8116
fang fa 	方法	c=9 d=4.13982 t=8116
fang mian 	方面	c=1 d=0.97531 t=8116
fang qi 	放弃	c=1 d=0.980199 t=8116
fang shi 	方式	c=4 d=3.46122 t=8116
fang wen 	访问	c=1 d=0.960789 t=8116
fang zai 	放在	c=1 d=0.960789 t=8116
fang zhi 	防止	c=1 d=0.891366 t=8116
fei chang 	非常	c=1 d=0.951229 t=8116
fei jin 	费劲	c=1 d=0.937067 t=8116
fen 	分	c=3 d=2.3333 t=8116
fen bie 	分别	c=1 d=0.941765 t=8116
fen bu shi 	分布式	c=2 d=1.98012 t=8116
fen bu zhou 	分步骤	c=3 d=2.79123 t=8116
fen ge 	分割	c=1 d=0.722527 t=8116
fen kai 	分开	c=2 d=1.66812 t=8116
fen xi 	分析	c=25 d=6.62939 t=8116
fen zhi 	分支	c=7 d=5.9745 t=8116
fen zhong 	分钟	c=1 d=0.909373 t=8116
fen zhu 	分主	c=1 d=0.900325 t=8116
feng ge 	风格	c=4 d=2.59195 t=8116
feng xian 	风险	c=2 d=1.83602 t=8116
feng zhuang 	封装	c=4 d=2.62003 t=8116
fu 	负	c=1 d=0.995012 t=8116
fu dian 	浮点	c=1 d=0.97531 t=8116
fu dian shu 	浮点数	c=5 d=3.53988 t=8116
fu gai 	覆盖	c=2 d=1.48022 t=8116
fu he 	符合	c=6 d=3.71604 t=8116
fu wu 	服务	c=2 d=1.80067 t=8116
fu wu qi 	服务器	c=2 d=1.71984 t=8116
fu zhi 	复制	c=5 d=4.09085 t=8116
gai 	改	c=5 d=2.98555 t=8116
gai 	该	c=2 d=1.77606 t=8116
gai bian 	改变	c=1 d=0.909373 t=8116
gai cheng 	改成	c=1 d=0.909373 t=8116
gai jin 	改进	c=1 d=0.810584 t=8116
gai wei 	改为	c=3 d=2.63121 t=8116
gai xiao 	改小	c=1 d=0.733447 t=8116
gan shen me 	干什么	c=1 d=0.965605 t=8116
gang gan 	杠杆	c=1 d=0.985112 t=8116
gao 	高	c=3 d=2.78955 t=8116
gao du 	高度	c=3 d=1.60819 t=8116
gao ji 	高级	c=1 d=0.995012 t=8116
gao liang 	高亮	c=1 d=0.937067 t=8116
gao su wo 	告诉我	c=9 d=5.90883 t=8116
gao xing neng 	高性能	c=1 d=0.99005 t=8116
ge 	个	c=21 d=5.85777 t=8116
ge 	哥	c=1 d=1 t=8116
ge 	隔	c=1 d=0.444858 t=8116
ge li 	隔离	c=1 d=0.88692 t=8116
ge shi 	格式	c=5 d=2.9097 t=8116
ge shi hua 	格式化	c=1 d=0.565525 t=8116
gei 	给	c=17 d=5.6041 t=8116
gei chu 	给出	c=3 d=2.5549 t=8116
gei guo 	给过	c=1 d=0.790571 t=8116
gei ni 	给你	c=2 d=1.52307 t=8116
gei ta 	给他	c=2 d=1.29687 t=8116
gei wo 	给我	c=10 d=4.12666 t=8116
gei yi fen 	给一份	c=1 d=0.913931 t=8116
gei yi ge 	给一个	c=2 d=1.51341 t=8116
gei yi xie 	给一些	c=1 d=0.97531 t=8116
gen 	根	c=4 d=2.9308 t=8116
gen ju 	根据	c=22 d=9.89988 t=8116
gen mu lu 	根目录	c=2 d=1.54771 t=8116
gen zong 	跟踪	c=1 d=0.895834 t=8116
geng 	更	c=11 d=5.79208 t=8116
geng 	梗	c=1 d=0.985112 t=8116
geng 	耿	c=9 d=7.73038 t=8116
geng hao 	更好	c=2 d=1.77234 t=8116
geng huan 	更换	c=1 d=0.97531 t=8116
geng ju 	更具	c=1 d=0.666977 t=8116
geng xin 	更新	c=13 d=7.28923 t=8116
gong 	共	c=2 d=1.6116 t=8116
gong chang 	工厂	c=1 d=0.99005 t=8116
gong hao 	功耗	c=3 d=2.77723 t=8116
gong ju 	工具	c=5 d=3.35783 t=8116
gong neng 	功能	c=9 d=2.76409 t=8116
gong wang 	公网	c=2 d=1.98012 t=8116
gong xiang 	共享	c=11 d=5.91301 t=8116
gong yong 	公用	c=1 d=0.923116 t=8116
gong you 	公有	c=1 d=0.814647 t=8116
gou 	构	c=1 d=1 t=8116
gou jian 	构建	c=2 d=1.42369 t=8116
gu ding 	固定	c=4 d=2.74888 t=8116
gu du 	孤独	c=1 d=0.822835 t=8116
gu ge 	谷歌	c=2 d=1.52463 t=8116
gu piao 	股票	c=1 d=0.97531 t=8116
gua 	挂	c=1 d=0.856415 t=8116
gua zai 	挂载	c=1 d=0.818731 t=8116
guan 	管	c=1 d=0.97531 t=8116
guan bi 	关闭	c=11 d=6.62597 t=8116
guan dao 	管道	c=3 d=2.28124 t=8116
guan kong 	管控	c=1 d=0.980199 t=8116
guan xi 	关系	c=1 d=0.937067 t=8116
guan yu 	关于	c=7 d=4.327 t=8116
guang biao 	光标	c=5 d=4.36625 t=8116
gui fan 	规范	c=2 d=1.75957 t=8116
gui hua 	规划	c=4 d=2.04296 t=8116
gui lei 	归类	c=1 d=0.818731 t=8116
gui ze 	规则	c=3 d=2.53003 t=8116
gui zheng 	规整	c=1 d=0.882497 t=8116
gun dong 	滚动	c=14 d=5.74486 t=8116
gun dong tiao 	滚动条	c=1 d=0.744532 t=8116
gun lun 	滚轮	c=2 d=0.900325 t=8116
guo 	过	c=6 d=3.53744 t=8116
guo cheng 	过程	c=5 d=3.11717 t=8116
guo lv 	过滤	c=3 d=2.28622 t=8116
guo qi 	过期	c=1 d=0.951229 t=8116
guo shi 	过时	c=2 d=1.10425 t=8116
guo yi duan 	过一段	c=1 d=0.88692 t=8116
hai 	还	c=4 d=3.05111 t=8116
hai bu neng 	还不能	c=1 d=0.697676 t=8116
hai hui 	还会	c=1 d=0.985112 t=8116
hai ji de 	还记得	c=1 d=0.527292 t=8116
hai shi 	还是	c=23 d=6.07989 t=8116
hai xu yao 	还需要	c=1 d=0.810584 t=8116
hai yao 	还要	c=3 d=2.50319 t=8116
hai you 	还有	c=10 d=3.71734 t=8116
han shu 	函数	c=20 d=7.33962 t=8116
hang 	行	c=15 d=6.68004 t=8116
hang nei 	行内	c=1 d=0.802519 t=8116
hang qing 	行情	c=2 d=1.75523 t=8116
hao 	好	c=15 d=6.20525 t=8116
hao de 	好的	c=15 d=6.27605 t=8116
hao kan 	好看	c=1 d=0.88692 t=8116
hao ne 	好呢	c=1 d=0.843665 t=8116
hao xiang 	好像	c=1 d=0.810584 t=8116
hao yi xie 	好一些	c=1 d=0.97531 t=8116
hao yong 	好用	c=1 d=0.951229 t=8116
he 	和	c=58 d=11.0874 t=8116
he bing 	合并	c=5 d=3.31556 t=8116
he cha 	核查	c=1 d=0.918512 t=8116
he fa 	合法	c=1 d=0.814647 t=8116
he li 	合理	c=1 d=0.985112 t=8116
he yue 	合约	c=8 d=5.3483 t=8116
hen 	很	c=7 d=4.06731 t=8116
hen duo 	很多	c=1 d=0.965605 t=8116
hen hao 	很好	c=5 d=2.31641 t=8116
hong 	宏	c=16 d=7.29797 t=8116
hong se 	红色	c=1 d=0.822835 t=8116
hou 	后	c=23 d=8.34303 t=8116
hou mian 	后面	c=2 d=1.87472 t=8116
hou tai 	后台	c=1 d=0.99005 t=8116
hou zhui 	后缀	c=2 d=1.94176 t=8116
hu lve 	忽略	c=6 d=3.82543 t=8116
hu zhuan 	互转	c=1 d=0.878095 t=8116
hua 	画	c=2 d=1.8385 t=8116
hua 	话	c=4 d=2.16807 t=8116
huan 	换	c=8 d=6.43573 t=8116
huan cheng 	换成	c=1 d=0.878095 t=8116
huan cun 	缓存	c=5 d=3.11847 t=8116
huan jing 	环境	c=2 d=1.29089 t=8116
huan jing bian liang 	环境变量	c=2 d=1.49338 t=8116
huan man 	缓慢	c=2 d=1.80988 t=8116
huan yuan 	还原	c=2 d=1.46216 t=8116
hui 	会	c=42 d=9.46916 t=8116
hui 	回	c=1 d=0.860708 t=8116
hui ba 	会把	c=1 d=0.557106 t=8116
hui bao 	回报	c=1 d=0.985112 t=8116
hui bi 	会比	c=1 d=0.970446 t=8116
hui bu hui 	会不会	c=1 d=0.927743 t=8116
hui ce 	回测	c=1 d=0.891366 t=8116
hui da 	回答	c=1 d=0.980199 t=8116
hui dao zhi 	会导致	c=1 d=1 t=8116
hui diao 	回调	c=2 d=1.80719 t=8116
hui fu 	恢复	c=2 d=1.63748 t=8116
hui qu 	回去	c=1 d=0.814647 t=8116
hui se 	灰色	c=1 d=0.965605 t=8116
hui shi 	回事	c=1 d=0.794534 t=8116
hui shou zhan 	回收站	c=1 d=0.869358 t=8116
hui tui 	回退	c=1 d=0.927743 t=8116
hui zai 	会在	c=1 d=0.970446 t=8116
hui zhi 	绘制	c=1 d=0.941765 t=8116
huo 	或	c=10 d=3.96117 t=8116
huo dao 	活到	c=2 d=1.83725 t=8116
huo de 	获得	c=5 d=3.93648 t=8116
huo ge wo zi 	霍格沃兹	c=1 d=1 t=8116
huo qu 	获取	c=49 d=12.31 t=8116
huo qu le 	或去了	c=1 d=0.965605 t=8116
huo shi 	或是	c=1 d=0.726149 t=8116
huo zhe 	或者	c=14 d=5.95858 t=8116
ji 	即	c=1 d=0.946485 t=8116
ji chang 	机场	c=1 d=0.995012 t=8116
ji cheng 	继承	c=5 d=3.05472 t=8116
ji chu 	基础	c=1 d=0.980199 t=8116
ji chu 	挤出	c=1 d=0.771052 t=8116
ji de 	记得	c=3 d=1.64607 t=8116
ji ge 	几个	c=4 d=2.72829 t=8116
ji hua 	计划	c=2 d=1.51527 t=8116
ji huo 	激活	c=4 d=2.1379 t=8116
ji lu 	记录	c=2 d=0.855302 t=8116
ji ran 	既然	c=1 d=0.790571 t=8116
ji shi 	即使	c=3 d=2.1658 t=8116
ji suan 	计算	c=5 d=4.19908 t=8116
ji suan ji 	计算机	c=1 d=0.927743 t=8116
ji xu 	继续	c=5 d=3.13097 t=8116
ji ya 	挤压	c=2 d=1.35145 t=8116
ji yu 	基于	c=1 d=0.865022 t=8116
ji zhu 	记住	c=2 d=1.32636 t=8116
jia 	假	c=2 d=1.91238 t=8116
jia 	加	c=4 d=2.97971 t=8116
jia 	家	c=0 d=0.0869358 t=8116
jia cang 	加仓	c=9 d=8.34184 t=8116
jia ge 	价格	c=6 d=5.05141 t=8116
jia gou 	架构	c=1 d=0.932394 t=8116
jia mi 	加密	c=8 d=5.9977 t=8116
jia ru 	假如	c=1 d=0.860708 t=8116
jia ru 	加入	c=1 d=0.995012 t=8116
jia shang 	加上	c=15 d=4.97037 t=8116
jia she 	假设	c=6 d=3.90051 t=8116
jia yan se 	家颜色	c=1 d=0.873716 t=8116
jia yuan 	家园	c=2 d=1.68194 t=8116
jia zai 	加载	c=5 d=2.60925 t=8116
jian biao 	建表	c=1 d=0.99005 t=8116
jian cha 	检查	c=5 d=2.52562 t=8116
